Disease,Gene,Gene_Name,Age_Of_Onset,Inheritance_Type
Neonatal encephalomyopathy-cardiomyopathy-respiratory distress syndrome,COQ4,coenzyme Q4,"Antenatal, Infancy, Neonatal",Autosomal recessive
Predisposition to invasive fungal disease due to CARD9 deficiency,CARD9,caspase recruitment domain family member 9,,Autosomal recessive
Syndromic sensorineural deafness due to combined oxidative phosphorylation defect,MRPS7,mitochondrial ribosomal protein S7,Neonatal,Autosomal recessive
Progressive essential tremor-speech impairment-facial dysmorphism-intellectual disability-abnormal behavior syndrome,SLC6A17,solute carrier family 6 member 17,"Adolescent, Adult",Autosomal recessive
KAT6-related intellectual disability-craniofacial anomalies-cardiac defects syndrome,KAT6A,lysine acetyltransferase 6A,"Infancy, Neonatal",Autosomal dominant
Polyglucosan body myopathy type 2,GYG1,glycogenin 1,"Adolescent, Adult, Childhood, Elderly",Autosomal recessive
Autosomal dominant mitochondrial myopathy with exercise intolerance,CHCHD10,coiled-coil-helix-coiled-coil-helix domain containing 10,"Childhood, Infancy",Autosomal dominant
Erythrokeratodermia variabilis,GJA1,gap junction protein alpha 1,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Erythrokeratodermia variabilis,GJB4,gap junction protein beta 4,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Erythrokeratodermia variabilis,GJB3,gap junction protein beta 3,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Erythrokeratodermia variabilis,KDSR,3-ketodihydrosphingosine reductase,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Short stature due to growth hormone qualitative anomaly,GH1,growth hormone 1,"Infancy, Neonatal",Autosomal recessive
Short stature due to isolated growth hormone deficiency with X-linked hypogammaglobulinemia,BTK,Bruton tyrosine kinase,"Infancy, Neonatal",X-linked recessive
Short stature due to isolated growth hormone deficiency with X-linked hypogammaglobulinemia,ELF4,E74 like ETS transcription factor 4,"Infancy, Neonatal",X-linked recessive
Autosomal recessive hypohidrotic ectodermal dysplasia,EDAR,ectodysplasin A receptor,"Infancy, Neonatal",Autosomal recessive
Autosomal recessive hypohidrotic ectodermal dysplasia,EDARADD,EDAR associated via death domain,"Infancy, Neonatal",Autosomal recessive
Autosomal recessive hypohidrotic ectodermal dysplasia,WNT10A,Wnt family member 10A,"Infancy, Neonatal",Autosomal recessive
Autosomal recessive hypohidrotic ectodermal dysplasia,CSTB,cystatin B,"Infancy, Neonatal",Autosomal recessive
Autosomal dominant hypohidrotic ectodermal dysplasia,EDAR,ectodysplasin A receptor,"Infancy, Neonatal",Autosomal dominant
Autosomal dominant hypohidrotic ectodermal dysplasia,EDARADD,EDAR associated via death domain,"Infancy, Neonatal",Autosomal dominant
Autosomal dominant hypohidrotic ectodermal dysplasia,TRAF6,TNF receptor associated factor 6,"Infancy, Neonatal",Autosomal dominant
Autosomal dominant hypohidrotic ectodermal dysplasia,LRP6,LDL receptor related protein 6,"Infancy, Neonatal",Autosomal dominant
Autosomal dominant hypohidrotic ectodermal dysplasia,KDF1,keratinocyte differentiation factor 1,"Infancy, Neonatal",Autosomal dominant
Vogt-Koyanagi-Harada disease,HLA-DRB1,"major histocompatibility complex, class II, DR beta 1",All ages,Multigenic/multifactorial
Vogt-Koyanagi-Harada disease,FAS,Fas cell surface death receptor,All ages,Multigenic/multifactorial
Vogt-Koyanagi-Harada disease,PTPN22,protein tyrosine phosphatase non-receptor type 22,All ages,Multigenic/multifactorial
Idiopathic pulmonary fibrosis,SFTPA1,surfactant protein A1,Adult,Multigenic/multifactorial
Idiopathic pulmonary fibrosis,DSP,desmoplakin,Adult,Multigenic/multifactorial
Idiopathic pulmonary fibrosis,TERT,telomerase reverse transcriptase,Adult,Multigenic/multifactorial
Idiopathic pulmonary fibrosis,TERC,telomerase RNA component,Adult,Multigenic/multifactorial
Idiopathic pulmonary fibrosis,MUC5B,"mucin 5B, oligomeric mucus/gel-forming",Adult,Multigenic/multifactorial
Idiopathic pulmonary fibrosis,SFTPA2,surfactant protein A2,Adult,Multigenic/multifactorial
Idiopathic pulmonary fibrosis,RTEL1,regulator of telomere elongation helicase 1,Adult,Multigenic/multifactorial
Idiopathic pulmonary fibrosis,FAM13A,family with sequence similarity 13 member A,Adult,Multigenic/multifactorial
Idiopathic pulmonary fibrosis,STN1,STN1 subunit of CST complex,Adult,Multigenic/multifactorial
Idiopathic pulmonary fibrosis,ATP11A,ATPase phospholipid transporting 11A,Adult,Multigenic/multifactorial
Idiopathic pulmonary fibrosis,DPP9,dipeptidyl peptidase 9,Adult,Multigenic/multifactorial
Idiopathic pulmonary fibrosis,PARN,poly(A)-specific ribonuclease,Adult,Multigenic/multifactorial
Idiopathic pulmonary fibrosis,SFTPC,surfactant protein C,Adult,Multigenic/multifactorial
Idiopathic pulmonary fibrosis,ABCA3,ATP binding cassette subfamily A member 3,Adult,Multigenic/multifactorial
Occipital horn syndrome,ATP7A,ATPase copper transporting alpha,"Childhood, Infancy, Neonatal",X-linked recessive
Familial exudative vitreoretinopathy,CTNNB1,catenin beta 1,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive"
Familial exudative vitreoretinopathy,FZD4,frizzled class receptor 4,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive"
Familial exudative vitreoretinopathy,LRP5,LDL receptor related protein 5,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive"
Familial exudative vitreoretinopathy,NDP,norrin cystine knot growth factor NDP,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive"
Familial exudative vitreoretinopathy,TSPAN12,tetraspanin 12,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive"
Familial exudative vitreoretinopathy,ZNF408,zinc finger protein 408,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive"
Severe intellectual disability-corpus callosum agenesis-facial dysmorphism-cerebellar ataxia syndrome,FRMD4A,FERM domain containing 4A,Neonatal,Autosomal recessive
Exercise-induced malignant hyperthermia,RYR1,ryanodine receptor 1,All ages,Multigenic/multifactorial
SMARCA4-deficient sarcoma of thorax,SMARCA4,SWI/SNF related BAF chromatin remodeling complex subunit ATPase 4,Adult,Not applicable
Facial dysmorphism-developmental delay-behavioral abnormalities syndrome due to WAC point mutation,WAC,WW domain containing adaptor with coiled-coil,"Childhood, Infancy","Autosomal dominant, Not applicable"
Seizures-scoliosis-macrocephaly syndrome,EXT2,exostosin glycosyltransferase 2,Infancy,Autosomal recessive
VPS11-related autosomal recessive hypomyelinating leukodystrophy,VPS11,VPS11 core subunit of CORVET and HOPS complexes,Infancy,Autosomal recessive
Childhood-onset progressive contractures-limb-girdle weakness-muscle dystrophy syndrome,TTN,titin,Childhood,Autosomal recessive
Autosomal dominant thrombocytopenia with platelet secretion defect,SLFN14,schlafen family member 14,Childhood,Autosomal dominant
Acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome,SCYL1,SCY1 like pseudokinase 1,Infancy,Autosomal recessive
Macrocephaly-intellectual disability-left ventricular non compaction syndrome,NONO,non-POU domain containing octamer binding,Infancy,X-linked recessive
Neonatal severe cardiopulmonary failure due to mitochondrial methylation defect,SLC25A26,solute carrier family 25 member 26,"Infancy, Neonatal",Autosomal recessive
Autosomal recessive Charcot-Marie-Tooth disease type 2X,SPG11,"SPG11 vesicle trafficking associated, spatacsin","Adolescent, Adult, Childhood",Autosomal recessive
Autosomal dominant Charcot-Marie-Tooth disease type 2Z,MORC2,MORC family CW-type zinc finger 2,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal dominant
Familial patent arterial duct,TFAP2B,transcription factor AP-2 beta,,Autosomal dominant
Familial patent arterial duct,PRDM6,PR/SET domain 6,,Autosomal dominant
Autosomal recessive spastic paraplegia type 77,FARS2,"phenylalanyl-tRNA synthetase 2, mitochondrial","Childhood, Infancy",Autosomal recessive
Martinique crinkled retinal pigment epitheliopathy,MAPKAPK3,MAPK activated protein kinase 3,Adult,Autosomal dominant
TMEM199-CDG,VMA12,vacuolar ATPase assembly factor VMA12,"Adolescent, Childhood, Infancy",Autosomal recessive
Fetal encasement syndrome,CHUK,component of inhibitor of nuclear factor kappa B kinase complex,Antenatal,Autosomal recessive
Class I glucose-6-phosphate dehydrogenase deficiency,G6PD,glucose-6-phosphate dehydrogenase,Neonatal,X-linked recessive
Intellectual disability-epilepsy-extrapyramidal syndrome,DEAF1,DEAF1 transcription factor,Infancy,Autosomal recessive
Microcephalic cortical malformations-short stature due to RTTN deficiency,RTTN,rotatin,"Infancy, Neonatal",Autosomal recessive
Tubulinopathy-associated dysgyria,TUBA1A,tubulin alpha 1a,Infancy,"Autosomal dominant, Not applicable"
Tubulinopathy-associated dysgyria,TUBB2B,tubulin beta 2B class IIb,Infancy,"Autosomal dominant, Not applicable"
Tubulinopathy-associated dysgyria,TUBB3,tubulin beta 3 class III,Infancy,"Autosomal dominant, Not applicable"
Severe hypotonia-psychomotor developmental delay-strabismus-cardiac septal defect syndrome,CCDC174,coiled-coil domain containing 174,Neonatal,Autosomal recessive
Cryptogenic multifocal ulcerous stenosing enteritis,PLA2G4A,phospholipase A2 group IVA,"Adolescent, Adult, Childhood",Autosomal recessive
Chronic enteropathy associated with SLCO2A1 gene,SLCO2A1,solute carrier organic anion transporter family member 2A1,"Adolescent, Adult, Childhood",Autosomal recessive
Autosomal recessive spastic paraplegia type 74,IBA57,iron-sulfur cluster assembly factor IBA57,Childhood,Autosomal recessive
Isolated generalized anhidrosis with normal sweat glands,ITPR2,"inositol 1,4,5-trisphosphate receptor type 2",Neonatal,Autosomal recessive
White-Sutton syndrome,POGZ,pogo transposable element derived with ZNF domain,"Antenatal, Infancy, Neonatal",Autosomal dominant
CCDC115-CDG,VMA22,vacuolar ATPase assembly factor VMA22,"Infancy, Neonatal",Autosomal recessive
Colobomatous macrophthalmia-microcornea syndrome,CRIM1,cysteine rich transmembrane BMP regulator 1,"Adolescent, Childhood, Elderly, Infancy",Autosomal dominant
Severe primary trimethylaminuria,FMO3,flavin containing dimethylaniline monoxygenase 3,"Childhood, Infancy",Autosomal recessive
SLC39A8-CDG,SLC39A8,solute carrier family 39 member 8,Neonatal,Autosomal recessive
Rhizomelic chondrodysplasia punctata type 5,PEX5,peroxisomal biogenesis factor 5,"Infancy, Neonatal",Autosomal recessive
Autosomal recessive spastic paraplegia type 62,ERLIN1,ER lipid raft associated 1,"Childhood, Infancy",Autosomal recessive
Autosomal recessive spastic paraplegia type 61,ARL6IP1,ARL6 interacting reticulophagy regulator 1,Infancy,Autosomal recessive
Autosomal recessive spastic paraplegia type 60,WDR48,WD repeat domain 48,Infancy,Autosomal recessive
Autosomal recessive spastic paraplegia type 59,USP8,ubiquitin specific peptidase 8,Infancy,Autosomal recessive
Proximal myopathy with extrapyramidal signs,MICU1,mitochondrial calcium uptake 1,"Childhood, Infancy",Autosomal recessive
Pancytopenia-developmental delay syndrome,ERCC6L2,ERCC excision repair 6 like 2,Adolescent,Autosomal recessive
Optic atrophy-intellectual disability syndrome,NR2F1,nuclear receptor subfamily 2 group F member 1,Neonatal,Autosomal dominant
Autosomal recessive spastic paraplegia type 69,RAB3GAP2,RAB3 GTPase activating non-catalytic protein subunit 2,Infancy,Autosomal recessive
Autosomal recessive spastic paraplegia type 70,MARS1,methionyl-tRNA synthetase 1,Infancy,Autosomal recessive
Autosomal recessive spastic paraplegia type 71,ZFR,zinc finger RNA binding protein,Infancy,Autosomal recessive
Autosomal recessive spastic paraplegia type 63,AMPD2,adenosine monophosphate deaminase 2,Infancy,Autosomal recessive
Autosomal recessive spastic paraplegia type 64,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1,"Childhood, Infancy",Autosomal recessive
Autosomal recessive spastic paraplegia type 66,ARSI,arylsulfatase family member I,Infancy,Autosomal recessive
Autosomal recessive spastic paraplegia type 67,PGAP1,post-GPI attachment to proteins inositol deacylase 1,"Childhood, Infancy",Autosomal recessive
Childhood-onset spasticity with hyperglycinemia,GLRX5,glutaredoxin 5,Childhood,Autosomal recessive
Multiple mitochondrial dysfunctions syndrome type 1,NFU1,NFU1 iron-sulfur cluster scaffold,Neonatal,Autosomal recessive
Multiple mitochondrial dysfunctions syndrome type 2,BOLA3,bolA family member 3,Neonatal,Autosomal recessive
Autosomal spastic paraplegia type 72,REEP2,receptor accessory protein 2,Childhood,"Autosomal dominant, Autosomal recessive"
Lipoic acid synthetase deficiency,LIAS,lipoic acid synthetase,Neonatal,Autosomal recessive
Lipoyl transferase 1 deficiency,LIPT1,lipoyltransferase 1,"Infancy, Neonatal",Autosomal recessive
Fibrolamellar hepatocellular carcinoma,DNAJB1,DnaJ heat shock protein family (Hsp40) member B1,"Adolescent, Adult",Not applicable
Fibrolamellar hepatocellular carcinoma,PRKACA,protein kinase cAMP-activated catalytic subunit alpha,"Adolescent, Adult",Not applicable
AXIN2-related polyposis,AXIN2,axin 2,Adult,Autosomal dominant
Huntington disease-like syndrome due to C9ORF72 expansions,C9ORF72,C9orf72-SMCR8 complex subunit,Adult,Autosomal dominant
Partial corpus callosum agenesis-cerebellar vermis hypoplasia with posterior fossa cysts syndrome,KPNA7,karyopherin subunit alpha 7,Neonatal,Autosomal recessive
Hyperammonemic encephalopathy due to carbonic anhydrase VA deficiency,CA5A,carbonic anhydrase 5A,"Childhood, Infancy, Neonatal",Autosomal recessive
Moyamoya disease with early-onset achalasia,GUCY1A1,guanylate cyclase 1 soluble subunit alpha 1,"Infancy, Neonatal",Autosomal recessive
1p31p32 microdeletion syndrome,NFIA,nuclear factor I A,Neonatal,Unknown
"Autosomal recessive spondylometaphyseal dysplasia, Mégarbané type",PAM16,presequence translocase associated motor 16,Antenatal,Autosomal recessive
MEND syndrome,EBP,EBP cholestenol delta-isomerase,"Infancy, Neonatal",X-linked recessive
Autosomal dominant Charcot-Marie-Tooth disease type 2 with giant axons,DCAF8,DDB1 and CUL4 associated factor 8,"Childhood, Infancy",Autosomal dominant
Autosomal dominant focal non-epidermolytic palmoplantar keratoderma with plantar blistering,KRT6C,keratin 6C,Childhood,Autosomal dominant
Karyomegalic interstitial nephritis,FAN1,FANCD2 and FANCI associated nuclease 1,Adult,Autosomal recessive
,KMT2A,lysine methyltransferase 2A,,
,MLLT3,MLLT3 super elongation complex subunit,,
,MECOM,MDS1 and EVI1 complex locus,,
,RPN1,ribophorin I,,
,NUP214,nucleoporin 214,,
,DEK,DEK proto-oncogene,,
,RBM15,RNA binding motif protein 15,,
,MRTFA,myocardin related transcription factor A,,
Acute myeloid leukemia with NPM1 somatic mutations,NPM1,nucleophosmin 1,,Not applicable
Progressive myoclonic epilepsy type 5,PRICKLE2,prickle planar cell polarity protein 2,Adolescent,Autosomal dominant
Progressive myoclonic epilepsy type 5,POLG,"DNA polymerase gamma, catalytic subunit",Adolescent,Autosomal dominant
Infantile cerebral and cerebellar atrophy with postnatal progressive microcephaly,MED17,mediator complex subunit 17,Infancy,Autosomal recessive
Autosomal recessive distal renal tubular acidosis,FOXI1,forkhead box I1,"Childhood, Infancy",Autosomal recessive
Autosomal recessive distal renal tubular acidosis,ATP6V0A4,ATPase H+ transporting V0 subunit a4,"Childhood, Infancy",Autosomal recessive
Autosomal recessive distal renal tubular acidosis,ATP6V1B1,ATPase H+ transporting V1 subunit B1,"Childhood, Infancy",Autosomal recessive
Autosomal recessive distal renal tubular acidosis,WDR72,WD repeat domain 72,"Childhood, Infancy",Autosomal recessive
Familial bicuspid aortic valve,NKX2-5,NK2 homeobox 5,"Infancy, Neonatal",Autosomal dominant
Familial bicuspid aortic valve,GATA5,GATA binding protein 5,"Infancy, Neonatal",Autosomal dominant
Familial bicuspid aortic valve,ROBO4,roundabout guidance receptor 4,"Infancy, Neonatal",Autosomal dominant
Familial bicuspid aortic valve,NOTCH1,notch receptor 1,"Infancy, Neonatal",Autosomal dominant
Familial bicuspid aortic valve,SMAD6,SMAD family member 6,"Infancy, Neonatal",Autosomal dominant
Scott syndrome,ANO6,anoctamin 6,All ages,Autosomal recessive
Intellectual disability-eye abnormalities-microcephaly-peripheral spasticity syndrome,CTNNB1,catenin beta 1,Infancy,Unknown
Multisystemic smooth muscle dysfunction syndrome,ACTA2,"actin alpha 2, smooth muscle",Infancy,Unknown
